"Date","hour","temperature","kWh"
"12/15/2014",23,37.94,69.7958713802689
"12/16/2014",0,35.96,82.3052414551249
"12/16/2014",1,35.06,80.7115321213395
"12/16/2014",2,35.06,80.1065354991273
"12/16/2014",3,35.06,79.5060738039977
"12/16/2014",4,35.96,79.8650789692332
"12/16/2014",5,37.04,80.3874911725115
"12/16/2014",6,37.94,80.6991854394076
"12/16/2014",7,39.02,141.118924412598
"12/16/2014",8,39.02,140.061126718069
"12/16/2014",9,39.92,140.523849714164
"12/16/2014",10,41,141.248732299242
"12/16/2014",11,39.92,138.425071027022
"12/16/2014",12,39.92,137.387465889321
"12/16/2014",13,39.92,136.357638420895
"12/16/2014",14,39.92,135.335530321975
"12/16/2014",15,39.92,134.321083729795
"12/16/2014",16,41,135.013969774424
"12/16/2014",17,41.54,134.836673305766
"12/16/2014",18,42.08,134.648809339748
"12/16/2014",19,42.98,134.988492859688
"12/16/2014",20,43.43,77.4421628942716
"12/16/2014",21,44.06,77.3888296933713
"12/16/2014",22,44.06,76.8087393477804
"12/16/2014",23,42.98,75.3403694252137
"12/17/2014",0,43.46,91.6140632993471
"12/17/2014",1,44.06,91.5209716958284
"12/17/2014",2,44.96,91.7108681895951
"12/17/2014",3,46.04,92.0546632208219
"12/17/2014",4,46.94,92.2079692969839
"12/17/2014",5,44.96,89.6639524230743
"12/17/2014",6,44.42,88.4829653899934
"12/17/2014",7,42.98,150.313489166514
"12/17/2014",8,42.98,149.186770953781
"12/17/2014",9,42.89,147.921266035199
"12/17/2014",10,42.44,146.079407468638
"12/17/2014",11,42.86,145.663624054535
"12/17/2014",12,44.78,147.610064577361
"12/17/2014",13,46.04,148.445763895756
"12/17/2014",14,46.67,148.28645113329
"12/17/2014",15,47.21,147.980678071715
"12/17/2014",16,48.02,148.06205420937
"12/17/2014",17,46.94,145.374270068791
"12/17/2014",18,45.86,142.699411893241
"12/17/2014",19,44.96,140.303765334115
"12/17/2014",20,44.06,79.3296293083531
"12/17/2014",21,42.98,77.8130669661784
"12/17/2014",22,42.08,76.4580149046503
"12/17/2014",23,41,74.9542532369114
"12/18/2014",0,39.92,89.5239815814306
"12/18/2014",1,39.92,88.8529286966666
"12/18/2014",2,39.92,88.1869058827974
"12/18/2014",3,39.92,87.5258754354728
"12/18/2014",4,39.02,85.9347377684789
"12/18/2014",5,37.04,83.2084596664691
"12/18/2014",6,37.04,82.5847466019963
"12/18/2014",7,36.32,141.183721428595
"12/18/2014",8,37.04,141.43698560169
"12/18/2014",9,39.92,145.45513127192
"12/18/2014",10,41,146.205451532742
"12/18/2014",11,42.98,148.394188074221
"12/18/2014",12,42.98,147.281856537684
"12/18/2014",13,42.98,146.177862803746
"12/18/2014",14,42.98,145.082144374
"12/18/2014",15,42.08,142.555655360138
"12/18/2014",16,41,139.751897895112
"12/18/2014",17,41,138.704347143044
"12/18/2014",18,39.92,135.93154991548
"12/18/2014",19,39.02,133.460442849972
"12/18/2014",20,39.02,76.1879844415491
"12/18/2014",21,39.02,75.6168953787
"12/18/2014",22,37.94,74.0569611210011
"12/18/2014",23,37.04,72.6691243360054
"12/19/2014",0,37.04,87.901279394879
"12/19/2014",1,37.04,87.2423899434673
"12/19/2014",2,35.96,85.3808985131494
"12/19/2014",3,35.06,83.7276340006872
"12/19/2014",4,35.06,83.1000293149023
"12/19/2014",5,33.98,81.2614280740683
"12/19/2014",6,33.98,80.652309547771
"12/19/2014",7,33.98,139.17063265781
"12/19/2014",8,35.06,140.193876399566
"12/19/2014",9,33.98,137.092064796964
"12/19/2014",10,33.98,136.064451592824
"12/19/2014",11,35.06,137.064857324328
"12/19/2014",12,35.06,136.037448061664
"12/19/2014",13,35.06,135.017740042147
"12/19/2014",14,35.06,134.005675538881
"12/19/2014",15,35.06,133.001197257681
"12/19/2014",16,33.08,128.412123249315
"12/19/2014",17,32,125.457553743256
"12/19/2014",18,30.92,122.504683202862
"12/19/2014",19,30.92,121.586413934581
"12/19/2014",20,30.02,68.4432239359226
"12/19/2014",21,30.02,67.930187964405
"12/19/2014",22,28.94,66.2587599467253
"12/19/2014",23,28.94,65.7620982565536
"12/20/2014",0,28.04,47.8942111111126
"12/20/2014",1,28.04,47.5352062058139
"12/20/2014",2,28.04,47.1788923255689
"12/20/2014",3,28.04,46.8252492990213
"12/20/2014",4,28.04,46.4742571060153
"12/20/2014",5,28.04,46.1258958764615
"12/20/2014",6,26.96,44.9346570956531
"12/20/2014",7,28.04,78.9965210208253
"12/20/2014",8,30.02,80.9848750466952
"12/20/2014",9,30.11,80.4921046577834
"12/20/2014",10,30.92,80.9016066790474
"12/20/2014",11,33.08,82.9101223619183
"12/20/2014",12,33.08,82.2886455709593
"12/20/2014",13,33.98,82.7189606464343
"12/20/2014",14,33.8,81.8922276970409
"12/20/2014",15,33.98,81.4835205984966
"12/20/2014",16,33.08,79.8489751151406
"12/20/2014",17,33.44,79.6586013106856
"12/20/2014",18,33.89,79.5646606899227
"12/20/2014",19,35.06,80.2506025288954
"12/20/2014",20,35.06,45.8123135689694
"12/20/2014",21,35.06,45.4689141285613
"12/20/2014",22,35.06,45.1280887379333
"12/20/2014",23,35.06,44.7898181025513
"12/21/2014",0,35.06,47.5587374587228
"12/21/2014",1,35.33,47.3744197102557
"12/21/2014",2,35.06,46.8484291034594
"12/21/2014",3,35.06,46.4972631595281
"12/21/2014",4,32,44.1912511557857
"12/21/2014",5,32,43.8600028573346
"12/21/2014",6,30.92,42.8276783262502
"12/21/2014",7,30.02,72.8730272547309
"12/21/2014",8,30.02,72.3267864118089
"12/21/2014",9,30.11,71.8866980786684
"12/21/2014",10,30.92,72.2524202608672
"12/21/2014",11,32,72.8888736211924
"12/21/2014",12,32,72.3425139972494
"12/21/2014",13,33.08,72.9402965821442
"12/21/2014",14,33.08,72.3935515025314
"12/21/2014",15,33.8,72.5889135074386
"12/21/2014",16,33.98,72.2266373176168
"12/21/2014",17,33.89,71.5950686301239
"12/21/2014",18,33.98,71.1479042245904
"12/21/2014",19,33.98,70.6145945400631
"12/21/2014",20,33.98,40.3114474617208
"12/21/2014",21,33.98,40.0092813534853
"12/21/2014",22,33.98,39.7093802186685
"12/21/2014",23,33.98,39.4117270795073
"12/22/2014",0,33.08,77.0130145936075
"12/22/2014",1,33.08,76.4357412787427
"12/22/2014",2,33.08,75.8627950828954
"12/22/2014",3,33.08,75.2941435708944
"12/22/2014",4,33.08,74.729754550695
"12/22/2014",5,33.08,74.169596071558
"12/22/2014",6,33.56,74.1186614441222
"12/22/2014",7,33.98,128.653575907784
"12/22/2014",8,35.06,129.599493619647
"12/22/2014",9,37.94,133.538788580853
"12/22/2014",10,39.92,135.776674897163
"12/22/2014",11,42.08,138.171598856366
"12/22/2014",12,44.06,140.161347433343
